SecurityID,OptionID,Exchange,Currency,Bid,UnderlyingBid,Ask,UnderlyingAsk,Last,UnderlyingLast,ImpliedVolatility,Delta,Gamma,Vega,Theta,CalculationPrice,Volume,OpenInterest,SpecialSettlement,ReferenceExchange,Date,BidTime,AskTime,LastTime,Description,Strike,CallPut,ContractSize,OptionStyle,Version,ExerciseStyle,Expiration,StartDate,VALOR,Issuer,SEDOL,ISIN
500096,151976978,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,0.0099999998,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,50,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS P 18 DEC13,18000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976978,21,814,-99.98999786,79.75,-99.98999786,79.75,0.0099999998,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,50,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS P 18 DEC13,18000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976978,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,0.0099999998,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,50,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS P 18 DEC13,18000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976978,21,814,-99.98999786,77.75,-99.98999786,77.75,0.0099999998,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,50,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS P 18 DEC13,18000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976978,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,0.0099999998,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,50,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS P 18 DEC13,18000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,50.549999237,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,51.680000305,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,50.290000916,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,51.650001526,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,56.209999084,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,58.900001526,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,77.75,-99.98999786,77.75,57.759998322,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,58.909999847,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,79.75,-99.98999786,79.75,59.759998322,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,58.279998779,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976979,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,56.38999939,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS C 20 DEC13,20000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,0.0099999998,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,79.75,-99.98999786,79.75,0.0099999998,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,77.75,-99.98999786,77.75,0.0099999998,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,0.0099999998,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,0.0099999998,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,0.0099999998,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,0.0099999998,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,0.0099999998,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,0.0099999998,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,0.0099999998,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976980,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,0.0099999998,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,27,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS P 20 DEC13,20000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,46.290000916,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,46.549999237,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,47.650001526,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,47.680000305,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,52.209999084,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,52.38999939,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,54.900001526,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,54.909999847,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,77.75,-99.98999786,77.75,53.759998322,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,54.279998779,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976981,21,814,-99.98999786,79.75,-99.98999786,79.75,55.759998322,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS C 24 DEC13,24000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,0.0099999998,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,0.0099999998,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,77.75,-99.98999786,77.75,0.0099999998,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,0.0099999998,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,0.0099999998,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,0.0099999998,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,79.75,-99.98999786,79.75,0.0099999998,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,0.0099999998,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,0.0099999998,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,0.0099999998,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976982,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,0.0099999998,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,132,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS P 24 DEC13,24000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,79.75,-99.98999786,79.75,51.759998322,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,43.650001526,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,48.209999084,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,43.680000305,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,42.290000916,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,50.909999847,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,77.75,-99.98999786,77.75,49.759998322,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,50.279998779,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,50.900001526,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,48.38999939,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976983,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,42.549999237,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS C 28 DEC13,28000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,0.0199999996,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,0.0099999998,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,0.0099999998,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,0.0099999998,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,79.75,-99.98999786,79.75,0.0099999998,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,0.0099999998,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,0.0099999998,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,0.0099999998,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,0.0099999998,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,77.75,-99.98999786,77.75,0.0099999998,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976984,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,0.0199999996,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,138,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS P 28 DEC13,28000,P,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976985,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,38.290000916,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS C 32 DEC13,32000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976985,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,46.279998779,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS C 32 DEC13,32000,C,100,0,0,A,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
